,,,,,,,,,,,,,,,,,,,Hedef Kas/Kaslar,,Egzersiz,,,,Aç?klama/Not,,Set,,Tekrar,,Rir,,Tempo,,Hafta 1/A??rl?k/Tekrar/Rir,,,,Hafta 2/A??rl?k/Tekrar/Rir,,,,Hafta 3/A??rl?k/Tekrar/Rir,,,,Hafta 4/A??rl?k/Tekrar/Rir,,,,Hafta 5/A??rl?k/Tekrar/Rir,,,,Hafta 6/A??rl?k/Tekrar/Rir,,,,Hafta 7/A??rl?k/Tekrar/Rir,,,,Hafta 8/A??rl?k/Tekrar/Rir,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Hedef Kas/Kaslar,,Egzersiz,,,,Aç?klama/Not,,Set,,Tekrar,,Rir,,Tempo,,Hafta 1/A??rl?k/Tekrar/Rir,,,,Hafta 2/A??rl?k/Tekrar/Rir,,,,Hafta 3/A??rl?k/Tekrar/Rir,,,,Hafta 4/A??rl?k/Tekrar/Rir,,,,Hafta 5/A??rl?k/Tekrar/Rir,,,,Hafta 6/A??rl?k/Tekrar/Rir,,,,Hafta 7/A??rl?k/Tekrar/Rir,,,,Hafta 8/A??rl?k/Tekrar/Rir,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,Biceps,,Scot Curl Mach,,,,Sinle Arm,,2,,5-9 / 8-12,,0-1,,3-1-0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,Triceps,,Seated Straight Bar Pushdown,,,,Dual Rope ,,2,,5-9 / 8-12 ,,0-1,,3-1-0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,Biceps,,Lengthened Db Curl,,,,Tricepsini deste?e daya ,,1,,6-10,,0-1,,3-1-0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,Triceps,,Sa Overhead Ext,,,,Coach kassem tarz?,,1,,6-10,,0-1,,3-1-0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5,Hamstring,,Seated Leg Curl,,,,,,3,,5-9 / 8-12,,0-1,,3-1-0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6,Calf,,Straight Leg Calf Raises,,,,3sn Esnemede duraksa / Hareketi yar?ya kadar yap,,3,,5-9 / 8-12 ,,0-1,,3-1-0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7,Quadriceps,,Leg Extansion,,,,Tepe noktada 1 sn duraksa,,2,,5-9 / 8-12,,0-1,,3-1-0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
